1	Heipz GmbH Масло подсолнечное Shadow	30
2	Heipz GmbH Анальгин Leta	31
3	ОАО РосМосГосТорг Ручка шариковая Red Line	20
4	Heipz GmbH Апельсины Ревалон	4
5	Kerton Квас Ревалон	13
6	ВНИИ Агропром Доска деревянная James Bondski	46
7	ООО Леторг Томаты Ревалон	22
8	ОАО РосМосГосТорг Квас Ревалон	14
9	Heipz GmbH Доска деревянная Leta	11
10	Heipz GmbH Мотоцикл Перископ	47
11	Uzuma-Kolberg Бензин АИ-95 Ревалон	49
12	Kerton Квас Shadow	8
13	ОАО РосМосГосТорг Куриные грудки Перископ	32
14	Heipz GmbH Томаты Shadow	3
15	Leizein Семечки Red Line	33
16	Leizein Масло машинное Ромашка	31
17	ООО Леторг Молоко Ромашка	28
18	ВНИИ Агропром Анальгин Leta	15
19	Heipz GmbH Доска деревянная Поездка	3
20	Heipz GmbH Квас James Bondski	28
21	ОАО РосМосГосТорг Бензин АИ-95 James Bondski	49
22	Leizein Рубашка хб Перископ	14
23	ВНИИ Агропром Молоко Leta	12
24	ОАО РосМосГосТорг Куриные грудки Ромашка	45
25	ВНИИ Агропром Яблоки Антоновка Shadow	4
26	ВНИИ Агропром Квас Shadow	7
27	ООО Леторг Бензин АИ-95 James Bondski	42
28	Heipz GmbH Рубашка хб Перископ	4
29	Kerton Масло подсолнечное Ревалон	44
30	ВНИИ Агропром Куриные грудки Leta	39
31	Uzuma-Kolberg Апельсины Shadow	16
32	ВНИИ Агропром Лапша бп Поездка	29
33	Leizein Куриные грудки Ревалон	24
34	Leizein Лапша бп James Bondski	37
35	Heipz GmbH Анальгин Поездка	28
36	Kerton Семечки Поездка	39
37	ВНИИ Агропром Яблоки Антоновка Ревалон	29
38	Heipz GmbH Яблоки Антоновка Перископ	14
39	ОАО РосМосГосТорг Конфеты шоколадные Ромашка	38
40	Heipz GmbH Апельсины Ревалон	15
41	Uzuma-Kolberg Сталь Ревалон	30
42	Kerton Конфеты шоколадные Поездка	21
43	Leizein Лимонад Байкал Поездка	34
44	Heipz GmbH Рубашка хб Red Line	33
45	Leizein Молоко Поездка	30
46	ОАО РосМосГосТорг Молоко Поездка	19
47	ОАО РосМосГосТорг Ручка шариковая Поездка	48
48	ООО Леторг Мотоцикл James Bondski	20
49	Kerton Доска деревянная Ревалон	46
50	ВНИИ Агропром Апельсины Leta	39
51	ООО Леторг Рубашка хб Поездка	46
52	Uzuma-Kolberg Молоко Shadow	6
53	ОАО РосМосГосТорг Пиво Жигули барное Перископ	45
54	ВНИИ Агропром Молоко James Bondski	24
55	Heipz GmbH Молоко Ревалон	38
56	Heipz GmbH Лапша бп Ромашка	23
57	ОАО РосМосГосТорг Лимонад Байкал Leta	5
58	ОАО РосМосГосТорг Конфеты шоколадные Leta	35
59	ВНИИ Агропром Бензин АИ-95 Поездка	35
