1	Kerton Бензин АИ-95 Поездка	4
2	Heipz GmbH Рубашка хб Ревалон	5
3	Leizein Квас Red Line	2
4	ВНИИ Агропром Лимонад Байкал Red Line	6
5	ООО Леторг Яблоки Антоновка Ревалон	5
6	Kerton Яблоки Антоновка Поездка	2
7	Kerton Бензин АИ-95 Поездка	7
8	ООО Леторг Анальгин Поездка	8
9	Heipz GmbH Семечки Перископ	3
10	Kerton Бензин АИ-95 Shadow	5
11	Uzuma-Kolberg Ручка шариковая James Bondski	5
12	Leizein Рубашка хб Ромашка	5
13	Heipz GmbH Конфеты шоколадные Ревалон	9
14	Kerton Сталь Ревалон	3
15	ВНИИ Агропром Апельсины Red Line	1
16	Heipz GmbH Бензин АИ-95 James Bondski	2
17	Kerton Яблоки Антоновка Ромашка	2
18	Heipz GmbH Ручка шариковая Ромашка	1
19	Heipz GmbH Сталь Shadow	6
20	Leizein Доска деревянная Перископ	6
